age	workclass	education	education-num	marital-status	occupation	relationship	race	sex	hours-per-week	native-country	income
(29.0, 39.0]	State-gov	Bachelors	13	Never-married	Adm-clerical	Not-in-family	White	Male	normal	United-States	<=50K
(49.0, 59.0]	Self-emp-not-inc	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	less	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Divorced	Handlers-cleaners	Not-in-family	White	Male	normal	United-States	<=50K
(49.0, 59.0]	Private	11th	7	Married-civ-spouse	Handlers-cleaners	Husband	Black	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	Bachelors	13	Married-civ-spouse	Prof-specialty	Wife	Black	Female	normal	Cuba	<=50K
(29.0, 39.0]	Private	Masters	14	Married-civ-spouse	Exec-managerial	Wife	White	Female	normal	United-States	<=50K
(39.0, 49.0]	Private	9th	5	Married-spouse-absent	Other-service	Not-in-family	Black	Female	less	Jamaica	<=50K
(49.0, 59.0]	Self-emp-not-inc	HS-grad	9	Married-civ-spouse	Exec-managerial	Husband	White	Male	normal	United-States	>50K
(29.0, 39.0]	Private	Masters	14	Never-married	Prof-specialty	Not-in-family	White	Female	normal	United-States	>50K
(39.0, 49.0]	Private	Bachelors	13	Married-civ-spouse	Exec-managerial	Husband	White	Male	normal	United-States	>50K
(29.0, 39.0]	Private	Some-college	10	Married-civ-spouse	Exec-managerial	Husband	Black	Male	busy	United-States	>50K
(29.0, 39.0]	State-gov	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	Asian-Pac-Islander	Male	normal	India	>50K
(19.0, 29.0]	Private	Bachelors	13	Never-married	Adm-clerical	Own-child	White	Female	less	United-States	<=50K
(29.0, 39.0]	Private	Assoc-acdm	12	Never-married	Sales	Not-in-family	Black	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	Assoc-voc	11	Married-civ-spouse	Craft-repair	Husband	Asian-Pac-Islander	Male	normal	?	>50K
(29.0, 39.0]	Private	7th-8th	4	Married-civ-spouse	Transport-moving	Husband	Amer-Indian-Eskimo	Male	normal	Mexico	<=50K
(19.0, 29.0]	Self-emp-not-inc	HS-grad	9	Never-married	Farming-fishing	Own-child	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Never-married	Machine-op-inspct	Unmarried	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	11th	7	Married-civ-spouse	Sales	Husband	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Self-emp-not-inc	Masters	14	Divorced	Exec-managerial	Unmarried	White	Female	normal	United-States	>50K
(39.0, 49.0]	Private	Doctorate	16	Married-civ-spouse	Prof-specialty	Husband	White	Male	hard	United-States	>50K
(49.0, 59.0]	Private	HS-grad	9	Separated	Other-service	Unmarried	Black	Female	less	United-States	<=50K
(29.0, 39.0]	Federal-gov	9th	5	Married-civ-spouse	Farming-fishing	Husband	Black	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	11th	7	Married-civ-spouse	Transport-moving	Husband	White	Male	normal	United-States	<=50K
(49.0, 59.0]	Private	HS-grad	9	Divorced	Tech-support	Unmarried	White	Female	normal	United-States	<=50K
(49.0, 59.0]	Local-gov	Bachelors	13	Married-civ-spouse	Tech-support	Husband	White	Male	normal	United-States	>50K
(-inf, 19.0]	Private	HS-grad	9	Never-married	Craft-repair	Own-child	White	Male	normal	United-States	<=50K
(49.0, 59.0]	?	Some-college	10	Married-civ-spouse	?	Husband	Asian-Pac-Islander	Male	hard	South	>50K
(29.0, 39.0]	Private	HS-grad	9	Divorced	Exec-managerial	Not-in-family	White	Male	busy	United-States	<=50K
(39.0, 49.0]	Private	HS-grad	9	Married-civ-spouse	Craft-repair	Husband	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Local-gov	Assoc-acdm	12	Never-married	Protective-serv	Not-in-family	White	Male	hard	United-States	<=50K
(19.0, 29.0]	Private	Some-college	10	Never-married	Sales	Own-child	Black	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	Bachelors	13	Divorced	Exec-managerial	Own-child	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Federal-gov	Some-college	10	Married-civ-spouse	Adm-clerical	Own-child	White	Male	normal	United-States	<=50K
(19.0, 29.0]	State-gov	Some-college	10	Married-civ-spouse	Other-service	Husband	Black	Male	less	United-States	<=50K
(39.0, 49.0]	Private	11th	7	Never-married	Machine-op-inspct	Unmarried	White	Male	normal	Puerto-Rico	<=50K
(19.0, 29.0]	Private	Some-college	10	Never-married	Machine-op-inspct	Own-child	White	Male	normal	United-States	<=50K
(-inf, 19.0]	Private	HS-grad	9	Married-AF-spouse	Adm-clerical	Wife	White	Female	less	United-States	<=50K
(29.0, 39.0]	Private	Some-college	10	Married-civ-spouse	Sales	Husband	White	Male	normal	?	>50K
(39.0, 49.0]	Self-emp-not-inc	Assoc-acdm	12	Married-civ-spouse	Prof-specialty	Husband	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	9th	5	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	normal	United-States	<=50K
(49.0, 59.0]	Self-emp-not-inc	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	Bachelors	13	Married-civ-spouse	Tech-support	Husband	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	HS-grad	9	Separated	Adm-clerical	Unmarried	White	Female	normal	United-States	<=50K
(19.0, 29.0]	Private	HS-grad	9	Never-married	Handlers-cleaners	Not-in-family	White	Male	normal	United-States	<=50K
(49.0, 59.0]	Federal-gov	Bachelors	13	Married-civ-spouse	Prof-specialty	Husband	Black	Male	normal	United-States	>50K
(49.0, 59.0]	Private	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	normal	United-States	<=50K
(39.0, 49.0]	Private	Masters	14	Divorced	Exec-managerial	Unmarried	White	Female	normal	United-States	<=50K
(39.0, 49.0]	State-gov	Assoc-voc	11	Married-civ-spouse	Craft-repair	Husband	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	Assoc-voc	11	Never-married	Prof-specialty	Not-in-family	White	Male	normal	United-States	<=50K
(19.0, 29.0]	Private	Some-college	10	Married-civ-spouse	Exec-managerial	Wife	Other	Female	normal	United-States	<=50K
(-inf, 19.0]	Private	HS-grad	9	Never-married	Other-service	Own-child	White	Female	less	?	<=50K
(39.0, 49.0]	Private	Prof-school	15	Married-civ-spouse	Prof-specialty	Wife	White	Female	hard	Honduras	>50K
(49.0, 59.0]	Federal-gov	Bachelors	13	Divorced	Exec-managerial	Not-in-family	White	Male	hard	United-States	>50K
(39.0, 49.0]	Self-emp-inc	HS-grad	9	Divorced	Exec-managerial	Not-in-family	White	Male	hard	United-States	<=50K
(39.0, 49.0]	Private	Some-college	10	Married-civ-spouse	Tech-support	Husband	White	Male	normal	United-States	>50K
(39.0, 49.0]	Private	5th-6th	3	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	normal	Mexico	<=50K
(29.0, 39.0]	Private	Assoc-voc	11	Married-civ-spouse	Other-service	Husband	White	Male	normal	Puerto-Rico	<=50K
(39.0, 49.0]	Private	HS-grad	9	Married-civ-spouse	Adm-clerical	Husband	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	HS-grad	9	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	normal	United-States	<=50K
(29.0, 39.0]	Private	Bachelors	13	Married-civ-spouse	Sales	Husband	White	Male	normal	United-States	<=50K
