sepal length	sepal width	petal length	petal width	class
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
5.3...6.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
5.3...6.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
5.3...6.3	>3.2	<=2.4	<=0.7	Iris-setosa
5.3...6.3	>3.2	<=2.4	<=0.7	Iris-setosa
5.3...6.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
5.3...6.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
5.3...6.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
5.3...6.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
5.3...6.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
5.3...6.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	<=2.8	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	2.8...3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
<=5.3	>3.2	<=2.4	<=0.7	Iris-setosa
>6.3	2.8...3.2	2.4...4.8	0.7...1.7	Iris-versicolor
>6.3	2.8...3.2	2.4...4.8	0.7...1.7	Iris-versicolor
>6.3	2.8...3.2	>4.8	0.7...1.7	Iris-versicolor
5.3...6.3	<=2.8	2.4...4.8	0.7...1.7	Iris-versicolor
>6.3	<=2.8	2.4...4.8	0.7...1.7	Iris-versicolor
5.3...6.3	<=2.8	2.4...4.8	0.7...1.7	Iris-versicolor
5.3...6.3	>3.2	2.4...4.8	0.7...1.7	Iris-versicolor
<=5.3	<=2.8	2.4...4.8	0.7...1.7	Iris-versicolor
>6.3	2.8...3.2	2.4...4.8	0.7...1.7	Iris-versicolor
<=5.3	<=2.8	2.4...4.8	0.7...1.7	Iris-versicolor
<=5.3	<=2.8	2.4...4.8	0.7...1.7	Iris-versicolor
5.3...6.3	2.8...3.2	2.4...4.8	0.7...1.7	Iris-versicolor
5.3...6.3	<=2.8	2.4...4.8	0.7...1.7	Iris-versicolor
5.3...6.3	2.8...3.2	2.4...4.8	0.7...1.7	Iris-versicolor
5.3...6.3	2.8...3.2	2.4...4.8	0.7...1.7	Iris-versicolor
>6.3	2.8...3.2	2.4...4.8	0.7...1.7	Iris-versicolor
5.3...6.3	2.8...3.2	2.4...4.8	0.7...1.7	Iris-versicolor
5.3...6.3	<=2.8	2.4...4.8	0.7...1.7	Iris-versicolor
5.3...6.3	<=2.8	2.4...4.8	0.7...1.7	Iris-versicolor
